Date,open,high,low,close
1/3/2000,1469.25,1478.00,1438.36,1455.22
1/4/2000,1455.22,1455.22,1397.43,1399.42
1/5/2000,1399.42,1413.27,1377.68,1402.11
1/6/2000,1402.11,1411.90,1392.10,1403.45
1/7/2000,1403.45,1441.47,1400.73,1441.47
1/10/2000,1441.47,1464.36,1441.47,1457.60
1/11/2000,1457.60,1458.66,1434.42,1438.56
1/12/2000,1438.56,1442.60,1427.08,1432.25
1/13/00,1432.25,1454.20,1432.25,1449.68
1/14/00,1449.68,1473.00,1449.68,1465.15
1/18/00,1465.15,1465.15,1451.30,1455.14
1/19/00,1455.14,1461.39,1448.68,1455.90
1/20/00,1455.90,1465.71,1438.54,1445.57
1/21/00,1445.57,1453.18,1439.60,1441.36
1/24/00,1441.36,1454.09,1395.42,1401.53
1/25/00,1401.53,1414.26,1388.49,1410.03
1/26/00,1410.03,1412.73,1400.16,1404.09
1/27/00,1404.09,1418.86,1370.99,1398.56
1/28/00,1398.56,1398.56,1356.20,1360.16
1/31/00,1360.16,1394.48,1350.14,1394.46
2/1/2000,1394.46,1412.49,1384.79,1409.28
2/2/2000,1409.28,1420.61,1403.49,1409.12
2/3/2000,1409.12,1425.78,1398.52,1424.97
2/4/2000,1424.97,1435.91,1420.63,1424.37
2/7/2000,1424.37,1427.15,1413.33,1424.24
2/8/2000,1424.24,1441.83,1424.24,1441.72
2/9/2000,1441.72,1444.55,1411.65,1411.71
2/10/2000,1411.70,1422.10,1406.43,1416.83
2/11/2000,1416.83,1416.83,1378.89,1387.12
2/14/00,1387.12,1394.93,1380.53,1389.94
2/15/00,1389.94,1407.72,1376.25,1402.05
2/16/00,1402.05,1404.55,1385.58,1387.67
2/17/00,1387.67,1399.88,1380.07,1388.26
2/18/00,1388.26,1388.59,1345.32,1346.09
2/22/00,1346.09,1358.11,1331.88,1352.17
2/23/00,1352.17,1370.11,1342.44,1360.69
2/24/00,1360.69,1364.80,1329.88,1353.43
2/25/00,1353.43,1362.14,1329.15,1333.36
2/28/00,1333.36,1360.82,1325.07,1348.05
2/29/00,1348.05,1369.63,1348.05,1366.42
3/1/2000,1366.42,1383.46,1366.42,1379.19
3/2/2000,1379.19,1386.56,1370.35,1381.76
3/3/2000,1381.76,1410.88,1381.76,1409.17
3/6/2000,1409.17,1409.74,1384.75,1391.28
3/7/2000,1391.28,1399.21,1349.99,1355.62
3/8/2000,1355.62,1373.79,1346.62,1366.70
3/9/2000,1366.70,1401.82,1357.88,1401.69
3/10/2000,1401.69,1413.46,1392.07,1395.07
3/13/00,1395.07,1398.39,1364.84,1383.62
3/14/00,1383.62,1395.15,1359.15,1359.15
3/15/00,1359.15,1397.99,1356.99,1392.14
3/16/00,1392.15,1458.47,1392.15,1458.47
3/17/00,1458.47,1477.33,1453.32,1464.47
3/20/00,1464.47,1470.30,1448.49,1456.63
3/21/00,1456.63,1493.92,1446.06,1493.87
